alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.2,0.6,0.4,1.8,0.0027443982781575585
0.5,0.4,0.4,1.8,0.002747552225832497
0.8,0.1,0.5,1.2,0.002761044743339008
0.2,0.6,0.3,2.4,0.0027622162070458913
0.5,0.1,0.5,1.2,0.0027676187040384997
0.4,0.6,0.4,2.0,0.002778326579540722
0.7,0.2,0.4,1.8,0.002782140821297397
0.2,0.9,0.4,2.0,0.002803280528740089
0.3,0.8,0.4,2.0,0.002812576955280742
0.9,0.1,0.5,1.4,0.0028138304789187326
0.7,0.1,0.6,1.0,0.0028303439011064975
0.2,0.8,0.4,2.0,0.0028317305159026246
0.8,0.1,0.3,2.6,0.002849540696987756
0.3,0.2,0.4,1.6,0.002853968950400808
0.5,0.3,0.5,1.0,0.002865207475013024
0.4,0.5,0.4,2.2,0.0028662431202063693
0.4,0.7,0.5,1.4,0.0028693282968553484
0.6,0.3,0.6,1.0,0.00286993053340414
0.4,0.5,0.5,1.4,0.002883249085892421
0.9,0.1,0.3,2.8,0.002884208034368147
0.2,0.5,0.4,1.4,0.002920093054022239
0.1,0.8,0.3,2.4,0.0029201965522080626
0.3,0.7,0.4,2.2,0.0029365858015531028
0.1,0.9,0.3,2.6,0.0029374782066486837
0.1,0.4,0.3,2.6,0.0029421561950083125
0.2,0.5,0.3,2.2,0.002949997370098373
0.3,0.3,0.4,1.8,0.0029569424743363954
0.2,0.1,0.3,2.2,0.002959320703905163
0.5,0.4,0.4,2.2,0.0029686493264320297
0.1,0.3,0.3,2.2,0.0029691979953550057
0.3,0.7,0.5,1.2,0.0029922887488098644
0.7,0.2,0.5,1.2,0.002996034526709264
0.2,0.7,0.3,2.6,0.0030031512892712037
0.3,0.8,0.5,1.2,0.0030041999906422192
0.2,0.6,0.4,1.4,0.0030297829662441515
0.6,0.3,0.4,1.8,0.0030383895956547263
0.7,0.2,0.3,2.8,0.003042884218311821
0.1,0.4,0.3,2.0,0.003050075043063302
0.4,0.1,0.4,1.2,0.0030691435905050375
0.4,0.5,0.5,1.0,0.003071377979950194
0.4,0.6,0.4,2.2,0.003072115895882817
0.3,0.5,0.4,1.4,0.0030827898026099714
0.5,0.2,0.4,1.4,0.0031105554997247855
0.4,0.7,0.5,1.2,0.003110823314226947
0.6,0.4,0.6,1.0,0.003127387110174178
0.4,0.4,0.3,2.6,0.0031278198181553954
0.7,0.1,0.3,2.4,0.003130554766371838
0.5,0.3,0.3,2.6,0.0031438819943943436
0.6,0.3,0.4,2.2,0.0031471031724149847
0.3,0.1,0.4,1.4,0.0031521386821151383
0.6,0.1,0.4,2.0,0.0031528781581173795
0.6,0.4,0.5,1.4,0.0031591644164059157
0.2,0.4,0.4,1.4,0.0031596116682074795
0.3,0.8,0.4,2.2,0.003165070073836788
