alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.31999999999999995,0.26,0.3,2.56,0.0006309891572837331
0.33999999999999997,0.21999999999999997,0.3,2.48,0.0006310206747878121
0.27999999999999997,0.21999999999999997,0.27999999999999997,2.7,0.0006314576164929622
0.26,0.24,0.27999999999999997,2.66,0.0006315034852757059
0.33999999999999997,0.24,0.27999999999999997,2.8000000000000003,0.0006315179818981582
0.21999999999999997,0.38,0.27999999999999997,2.8000000000000003,0.0006319158740972789
0.31999999999999995,0.24,0.3,2.52,0.0006319773706203446
0.3,0.27999999999999997,0.3,2.5,0.0006325867020292622
0.27999999999999997,0.21999999999999997,0.27999999999999997,2.64,0.0006328072817233192
0.19999999999999998,0.36,0.27999999999999997,2.74,0.0006329331607561777
0.31999999999999995,0.26,0.3,2.5,0.0006334807746439797
0.24,0.36,0.27999999999999997,2.8000000000000003,0.0006338057209385622
0.3,0.26,0.3,2.52,0.0006340563860275004
0.33999999999999997,0.18,0.27999999999999997,2.66,0.0006342156836556691
0.3,0.3,0.3,2.56,0.0006342195978300613
0.3,0.19999999999999998,0.27999999999999997,2.64,0.0006342457933907001
0.3,0.3,0.3,2.58,0.0006347880564979887
0.27999999999999997,0.24,0.27999999999999997,2.64,0.0006348127182026264
0.36,0.18,0.27999999999999997,2.7,0.0006351202865293062
0.21999999999999997,0.3,0.27999999999999997,2.7,0.0006353533585589664
0.36,0.19999999999999998,0.27999999999999997,2.8000000000000003,0.0006357121083884973
0.21999999999999997,0.3,0.27999999999999997,2.72,0.0006357131068747456
0.3,0.21999999999999997,0.27999999999999997,2.64,0.0006361429337482991
0.31999999999999995,0.19999999999999998,0.27999999999999997,2.7600000000000002,0.0006361475316684884
0.27999999999999997,0.31999999999999995,0.3,2.56,0.0006365182225839576
0.26,0.24,0.27999999999999997,2.7,0.0006366210464857265
0.26,0.3,0.27999999999999997,2.7,0.0006367617291349301
0.33999999999999997,0.19999999999999998,0.27999999999999997,2.68,0.0006370344490522763
0.36,0.19999999999999998,0.27999999999999997,2.74,0.0006374871923850532
0.24,0.31999999999999995,0.27999999999999997,2.7,0.0006377052095305177
0.36,0.18,0.27999999999999997,2.7600000000000002,0.0006377071718534692
0.3,0.27999999999999997,0.27999999999999997,2.7600000000000002,0.0006377737425455364
0.31999999999999995,0.24,0.3,2.46,0.0006377985686325583
0.19999999999999998,0.38,0.27999999999999997,2.7600000000000002,0.0006378963740324541
0.3,0.19999999999999998,0.27999999999999997,2.7,0.0006381750858888963
0.27999999999999997,0.31999999999999995,0.3,2.58,0.0006382258966009666
0.33999999999999997,0.21999999999999997,0.3,2.52,0.0006385320590217533
0.27999999999999997,0.3,0.3,2.5,0.0006385521019077453
0.31999999999999995,0.27999999999999997,0.3,2.56,0.0006387798209978036
0.27999999999999997,0.3,0.3,2.56,0.0006388326095134514
0.31999999999999995,0.27999999999999997,0.3,2.58,0.0006390168353612676
0.33999999999999997,0.24,0.3,2.5,0.0006392732299520997
0.33999999999999997,0.24,0.3,2.56,0.0006393409279753038
0.31999999999999995,0.18,0.27999999999999997,2.66,0.0006394929098498373
0.26,0.26,0.27999999999999997,2.64,0.0006396435167379578
0.27999999999999997,0.27999999999999997,0.3,2.5,0.0006397361557208694
0.24,0.33999999999999997,0.27999999999999997,2.74,0.0006401343868999887
0.3,0.21999999999999997,0.27999999999999997,2.7800000000000002,0.0006403171086453813
0.26,0.24,0.27999999999999997,2.64,0.0006404812305580691
0.3,0.26,0.3,2.46,0.0006406417228306356
0.36,0.19999999999999998,0.3,2.48,0.00064072200324149
0.33999999999999997,0.21999999999999997,0.3,2.46,0.0006408052739651459
0.33999999999999997,0.21999999999999997,0.27999999999999997,2.72,0.0006408740824278418
